program_id,program_name,description,program_type,duration,focus_areas,objectives,target_grades,max_students,current_students,start_date,end_date,action_planning,status
prog_001,Ultimate Prep & Apps Program (48x 1hr/week),Comprehensive college preparation program with intensive application support,College Prep,1 weeks,Test Preparation|Application Strategy,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_002,Data Science Research Program,Research-focused program for developing academic projects,Research,12 weeks,Academic Research,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_003,Essay Program,Specialized program focusing on college application essays,Essay Writing,12 weeks,Essay Writing,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_004,Ivylevel Program,Elite college preparation focused on Ivy League and top-tier universities,General,12 weeks,College Preparation|Application Support,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_005,Ivy Level Program,Elite college preparation focused on Ivy League and top-tier universities,General,12 weeks,College Preparation|Application Support,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_006,Ivylevel Prep Basic Plan,Elite college preparation focused on Ivy League and top-tier universities,College Prep,12 weeks,Test Preparation,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_007,College Prep,Customized college preparation program,College Prep,12 weeks,Test Preparation,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_008,360 Assessment,Comprehensive evaluation and planning program,Assessment,12 weeks,College Preparation|Application Support,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_009,Transfer App Custom Program,Customized college preparation program,General,12 weeks,Application Strategy,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_010,24 Week Program,Customized college preparation program,General,24 weeks,College Preparation|Application Support,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_011,Game Plan Prep,Strategic planning and goal-setting program for college applications,College Prep,12 weeks,Test Preparation|Strategic Planning,College preparation|Application support|Academic development,11|12,50,2,,,true,active
prog_012,Game Plan,Strategic planning and goal-setting program for college applications,Strategic Planning,12 weeks,Strategic Planning,College preparation|Application support|Academic development,11|12,50,2,,,true,active
prog_013,Internship & Career Prep,Career preparation and internship placement program,College Prep,12 weeks,Test Preparation|Career Development,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_014,App Gameplan,Customized college preparation program,General,12 weeks,Application Strategy,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_015,Essay Elevate,Specialized program focusing on college application essays,Essay Writing,12 weeks,Essay Writing,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_016,24x Week Prep Program,Customized college preparation program,College Prep,24 weeks,Test Preparation,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_017,Essay Elevator,Specialized program focusing on college application essays,Essay Writing,12 weeks,Essay Writing,College preparation|Application support|Academic development,11|12,50,1,,,false,active
prog_018,12-Week Comprehensive App,Customized college preparation program,General,12 weeks,Application Strategy,College preparation|Application support|Academic development,11|12,50,1,,,false,active
